Concept,Count,Swadesh
1357_DAUGHTER,24,
3137_OAR,24,
531_HOW_MUCH,24,
719_FIND,23,
1657_TRUE,23,
1757_TIRED,23,
2616_SAGO_THATCH,23,
1767_SCRAPE,23,
339_DIGGING_STICK,23,
1773_treebase,23,
632_LIZARD,22,
328_GRASS-SKIRT,22,
2200_staff,22,
1107_GO_OUT,22,
1530_BOWL,22,
1055_FATHER-IN-LAW,22,
1241_SOME,22,Swadesh200
1283_TODAY,21,
706_DARK,21,
2199_slick,21,
855_SEIZE,21,
1575_COCKROACH,21,
2486_HIDE,21,
185_FIREPLACE,21,
1459_IF,21,Swadesh200
67_EMBERS,21,
1145_SWAMP,20,
1686_BEHIND,20,
1602_WAKE_UP,20,
1004_MUSCLE,20,
1449_RUB,20,Swadesh200
1096_SONG,20,
1414_SQUEEZE,20,Swadesh200
678_BEARD,19,
379_BLUNT,19,
2680_MACHETE,19,
1540_EYELASH,19,
999_JOINT,19,
1536_UNDERSTAND,19,
1704_pandanusmat,19,
1793_BAT,18,
256_FOOD,18,
1711_TELL,18,
1491_MOUSE,18,
955_sagotree,18,
190_MOW,18,
2355_GECKO,18,
2963_NET,18,
2513_womansclothespulpul,18,
1928_CEASE,18,
408_MEN'S_HOUSE,18,
1255_sagoporridge,17,
925_CASSAVA,17,
1382_NEEDLE_FOR_SEWING,17,
1269_swollen,17,
956_sagoflour,17,
711_TALL,17,
42_STINKING,17,
200_SAME,17,
354_POUND,17,
1853_DOVE,17,
865_withbymeansof,17,
2508_yammaho,17,
1547_SOUP,17,
696_STIR,17,
1901_recline,17,
1435_HUNT,17,Swadesh200
1958_UNRIPE,16,
2207_goanna,16,
1695_nipapalm,16,
1959_RAW,16,
665_BEE,16,
2445_PAPAYA,16,
431_UPPER_ARM,16,
808_yesterdaytomorrow,16,
2419_contents,16,
57_ATOP,16,
1643_COUSIN,16,
1385_PEPPER,16,
1678_limestick,16,
751_SHRUB,16,
1593_DEEP,15,
1577_bridgestepsladder,15,
1244_overthere,15,
592_PISS,15,
2348_CRAB,15,
187_LOIN,15,
2439_arrowshaft,15,
1560_FACE,15,
1050_MOTHER-IN-LAW,15,
1706_topant,15,
1664_RAFT,15,
392_MAGIC,15,
2060_STORY,15,
1226_YEAR,15,Swadesh200
285_tostay,14,
1706_ELEVEN,14,
2071_LAY_VERB,14,
1389_TOE,14,
3176_RACK_FOR_STORING_FOOD,14,
2417_ceremonialhouse,14,
197_OTHER,14,Swadesh200
2159_cassurinatree,14,
2405_fishweir,14,
2504_thisclose,14,
76_YOUNG_MAN,14,
690_BOTTOM,14,
635_MILK,13,
206_FIREFLY,13,
882_PARROT,13,
